transaction_id,client_id,transaction_date,transaction_type,amount,currency
TX00001,164,2024-03-03 13:27:17,Снятие,6734.24,UZS
TX00002,55,2024-01-28 16:38:53,Покупка,1410.99,RUB
TX00003,99,2024-03-23 20:36:37,Перевод,6659.86,UZS
TX00004,192,2024-02-04 05:06:34,Покупка,4693.33,UZS
TX00005,261,2024-03-09 04:21:48,Перевод,4450.08,UZS
TX00006,9,2024-06-06 23:46:00,Снятие,8227.23,UZS
TX00007,36,2024-04-15 11:01:49,Перевод,1211.9,USD
TX00008,43,2024-02-08 00:20:46,Пополнение,8962.5,USD
TX00009,254,2024-04-05 15:04:47,Перевод,9650.91,UZS
TX00010,27,2024-01-25 14:14:13,Комиссия,4410.75,UZS
TX00011,217,2024-04-05 11:58:09,Перевод,406.89,EUR
TX00012,163,2024-04-09 10:09:59,Пополнение,5419.2,RUB
TX00013,257,2024-03-27 18:10:18,Комиссия,9479.04,UZS
TX00014,158,2024-04-26 16:43:49,Снятие,4397.17,RUB
TX00015,116,2024-03-22 19:13:13,Снятие,2793.68,USD
TX00016,215,2024-06-07 02:30:59,Перевод,7632.6,EUR
TX00017,34,2024-06-04 00:48:49,Покупка,7411.79,UZS
TX00018,158,2024-03-20 04:43:39,Покупка,5222.84,UZS
TX00019,25,2024-05-21 09:26:12,Комиссия,4515.73,EUR
TX00020,285,2024-04-12 16:33:02,Перевод,7869.75,UZS
TX00021,289,2024-04-06 02:57:22,Пополнение,5552.79,RUB
TX00022,82,2024-02-12 13:21:58,Перевод,4947.55,RUB
TX00023,112,2024-02-24 01:36:01,Комиссия,6121.04,RUB
TX00024,33,2024-05-29 02:24:37,Пополнение,9214.36,EUR
TX00025,1,2024-05-24 19:26:10,Комиссия,8858.88,EUR
TX00026,14,2024-02-15 11:50:48,Покупка,5641.22,EUR
TX00027,102,2024-04-21 17:18:14,Перевод,4081.18,USD
TX00028,257,2024-03-30 23:14:38,Покупка,3350.11,EUR
TX00029,230,2024-06-14 05:46:57,Перевод,8692.16,USD
TX00030,239,2024-03-26 17:12:14,Пополнение,708.15,UZS
TX00031,254,2024-02-15 19:55:41,Перевод,7214.97,USD
TX00032,159,2024-01-04 20:15:16,Пополнение,6061.86,EUR
TX00033,3,2024-05-30 16:12:45,Перевод,3151.51,UZS
TX00034,49,2024-03-26 04:12:33,Пополнение,3715.41,EUR
TX00035,81,2024-05-28 13:28:51,Покупка,2666.98,USD
TX00036,224,2024-02-04 05:13:40,Пополнение,5137.71,UZS
TX00037,24,2024-06-10 14:41:54,Снятие,518.34,USD
TX00038,286,2024-02-19 13:05:50,Покупка,7489.99,RUB
TX00039,213,2024-03-02 20:43:37,Снятие,5012.84,EUR
TX00040,88,2024-05-20 01:22:17,Перевод,9471.9,USD
TX00041,7,2024-02-21 00:09:27,Пополнение,7352.4,EUR
TX00042,63,2024-01-27 02:11:03,Покупка,7519.02,UZS
TX00043,32,2024-06-20 07:22:45,Пополнение,9846.91,RUB
TX00044,227,2024-02-21 20:11:01,Перевод,7859.12,USD
TX00045,120,2024-05-02 10:21:28,Покупка,9128.31,EUR
TX00046,78,2024-02-05 19:07:00,Комиссия,8817.79,UZS
TX00047,177,2024-04-14 04:17:09,Комиссия,859.48,USD
TX00048,14,2024-06-21 17:22:42,Перевод,1704.89,USD
TX00049,117,2024-05-12 23:33:25,Перевод,8401.49,UZS
TX00050,63,2024-05-22 11:50:11,Снятие,1975.49,UZS
TX00051,165,2024-02-15 13:12:50,Покупка,7461.57,RUB
TX00052,175,2024-04-24 20:41:30,Комиссия,8513.1,USD
TX00053,242,2024-05-03 22:18:29,Комиссия,8967.16,EUR
TX00054,57,2024-05-13 08:46:13,Снятие,7954.06,USD
TX00055,159,2024-03-21 22:09:40,Покупка,7729.96,USD
TX00056,147,2024-03-03 15:32:26,Снятие,354.68,USD
TX00057,264,2024-02-13 07:36:14,Комиссия,5708.02,EUR
TX00058,220,2024-01-27 05:58:50,Покупка,8457.87,RUB
TX00059,261,2024-04-18 08:44:10,Покупка,2210.38,UZS
TX00060,146,2024-04-04 03:51:17,Пополнение,412.72,EUR
TX00061,83,2024-02-07 03:41:41,Комиссия,7095.78,RUB
TX00062,10,2024-04-28 15:16:00,Комиссия,6168.7,RUB
TX00063,300,2024-02-29 09:02:00,Пополнение,3904.72,EUR
TX00064,281,2024-02-22 04:18:22,Снятие,3347.61,EUR
TX00065,291,2024-01-05 12:38:11,Снятие,2173.5,RUB
TX00066,61,2024-01-21 00:38:28,Покупка,6721.44,EUR
TX00067,155,2024-04-26 21:41:34,Пополнение,7123.15,EUR
TX00068,67,2024-04-28 18:46:08,Снятие,388.26,EUR
TX00069,240,2024-03-04 09:39:46,Снятие,2251.0,USD
TX00070,42,2024-05-26 08:05:46,Покупка,5829.82,UZS
TX00071,223,2024-06-10 12:34:58,Пополнение,4294.62,UZS
TX00072,186,2024-04-07 06:18:01,Покупка,2075.43,USD
TX00073,45,2024-01-20 14:47:27,Перевод,3653.11,RUB
TX00074,253,2024-01-26 04:18:07,Покупка,8470.01,EUR
TX00075,214,2024-05-15 14:59:47,Перевод,3567.05,UZS
TX00076,272,2024-05-26 00:40:06,Пополнение,2346.68,RUB
TX00077,136,2024-06-08 00:17:43,Перевод,6283.69,RUB
TX00078,252,2024-01-22 12:30:13,Покупка,6726.8,EUR
TX00079,155,2024-04-11 11:28:45,Покупка,2698.99,EUR
TX00080,82,2024-03-22 19:12:14,Пополнение,8446.75,UZS
TX00081,110,2024-03-13 02:27:13,Комиссия,99.72,USD
TX00082,290,2024-01-08 17:58:12,Пополнение,6328.57,RUB
TX00083,221,2024-03-16 00:10:30,Перевод,3447.98,EUR
TX00084,235,2024-01-14 17:23:31,Пополнение,4602.98,EUR
TX00085,27,2024-01-31 15:58:24,Пополнение,6032.39,USD
TX00086,11,2024-01-20 06:37:24,Снятие,3406.34,USD
TX00087,26,2024-01-09 18:37:20,Комиссия,3994.6,UZS
TX00088,193,2024-01-07 15:59:08,Комиссия,4945.27,UZS
TX00089,279,2024-02-02 21:17:35,Комиссия,6373.22,USD
TX00090,99,2024-01-15 19:40:13,Покупка,2144.83,RUB
TX00091,169,2024-05-14 06:39:45,Перевод,7346.99,RUB
TX00092,37,2024-05-05 13:05:54,Снятие,1832.15,EUR
TX00093,219,2024-02-09 07:58:10,Покупка,2180.93,USD
TX00094,138,2024-03-13 19:03:54,Снятие,8918.16,UZS
TX00095,233,2024-05-06 16:08:23,Покупка,8141.3,USD
TX00096,131,2024-03-28 18:35:44,Покупка,3743.25,EUR
TX00097,210,2024-03-07 02:01:16,Снятие,3728.82,RUB
TX00098,86,2024-04-10 20:39:13,Комиссия,6631.0,RUB
TX00099,244,2024-03-01 10:03:48,Снятие,8325.1,UZS
TX00100,12,2024-06-23 06:25:47,Перевод,1853.86,RUB
TX00101,210,2024-05-17 07:21:12,Комиссия,8957.89,EUR
TX00102,110,2024-01-05 17:36:56,Перевод,9730.41,EUR
