card_id,user_id,card_type,bank_name,payment_system
1,1,Virtual Uzcard,TBC,Uzcard
2,2,Salom,TBC,Uzcard
3,2,Virtual Uzcard,TBC,Uzcard
4,2,Virtual Humo,TBC,Humo
5,3,Virtual Uzcard,TBC,Uzcard
6,4,Osmon,TBC,Humo
7,4,Virtual Uzcard,TBC,Uzcard
8,4,Other Bank,Xalq Bank,Humo
9,5,Salom,TBC,Uzcard
10,5,Virtual Humo,TBC,Humo
11,5,Other Bank,Trast Bank,Humo
12,6,Salom,TBC,Uzcard
13,6,Osmon,TBC,Humo
14,6,Virtual Humo,TBC,Humo
15,6,Other Bank,Anor Bank,Humo
16,7,Salom,TBC,Uzcard
17,7,Osmon,TBC,Humo
18,7,Virtual Humo,TBC,Humo
19,7,Other Bank,Infin Bank,Humo
20,7,Other Bank,Ipoteka Bank,Humo
21,7,Other Bank,Infin Bank,Uzcard
22,8,Salom,TBC,Uzcard
23,8,Virtual Humo,TBC,Humo
24,9,Virtual Uzcard,TBC,Uzcard
25,9,Virtual Humo,TBC,Humo
26,9,Other Bank,Kapital Bank,Uzcard
27,10,Osmon,TBC,Humo
28,10,Other Bank,Xalq Bank,Humo
29,11,Osmon,TBC,Humo
30,11,Virtual Humo,TBC,Humo
31,11,Other Bank,Infin Bank,Humo
32,12,Salom,TBC,Uzcard
33,12,Virtual Uzcard,TBC,Uzcard
34,12,Virtual Humo,TBC,Humo
35,12,Other Bank,Aloqa Bank,Uzcard
36,12,Other Bank,Infin Bank,Humo
37,13,Salom,TBC,Uzcard
38,13,Virtual Uzcard,TBC,Uzcard
39,13,Virtual Humo,TBC,Humo
40,13,Other Bank,Ipoteka Bank,Humo
41,13,Other Bank,Aloqa Bank,Humo
42,14,Salom,TBC,Uzcard
43,14,Virtual Uzcard,TBC,Uzcard
44,15,Virtual Uzcard,TBC,Uzcard
45,15,Virtual Humo,TBC,Humo
46,15,Other Bank,Anor Bank,Uzcard
47,15,Other Bank,Aloqa Bank,Humo
48,16,Salom,TBC,Uzcard
49,17,Salom,TBC,Uzcard
50,17,Virtual Uzcard,TBC,Uzcard
51,17,Virtual Humo,TBC,Humo
52,18,Salom,TBC,Uzcard
53,18,Osmon,TBC,Humo
54,18,Virtual Uzcard,TBC,Uzcard
55,18,Virtual Humo,TBC,Humo
56,18,Other Bank,Anor Bank,Uzcard
57,18,Other Bank,Xalq Bank,Humo
58,19,Salom,TBC,Uzcard
59,19,Virtual Uzcard,TBC,Uzcard
60,19,Other Bank,Ipoteka Bank,Humo
61,20,Salom,TBC,Uzcard
62,20,Virtual Uzcard,TBC,Uzcard
63,20,Virtual Humo,TBC,Humo
64,21,Salom,TBC,Uzcard
65,21,Virtual Uzcard,TBC,Uzcard
66,21,Virtual Humo,TBC,Humo
67,21,Other Bank,Ipoteka Bank,Uzcard
68,21,Other Bank,Trast Bank,Uzcard
69,22,Osmon,TBC,Humo
70,22,Virtual Uzcard,TBC,Uzcard
71,23,Virtual Uzcard,TBC,Uzcard
72,23,Other Bank,Infin Bank,Humo
73,24,Salom,TBC,Uzcard
74,24,Virtual Uzcard,TBC,Uzcard
75,24,Virtual Humo,TBC,Humo
76,24,Other Bank,Kapital Bank,Humo
77,24,Other Bank,Ipoteka Bank,Uzcard
78,25,Salom,TBC,Uzcard
79,25,Osmon,TBC,Humo
80,25,Virtual Uzcard,TBC,Uzcard
81,25,Virtual Humo,TBC,Humo
82,26,Salom,TBC,Uzcard
83,26,Virtual Humo,TBC,Humo
84,27,Virtual Uzcard,TBC,Uzcard
85,27,Virtual Humo,TBC,Humo
86,27,Other Bank,Trast Bank,Humo
87,27,Other Bank,Kapital Bank,Uzcard
88,28,Salom,TBC,Uzcard
89,28,Virtual Uzcard,TBC,Uzcard
90,28,Virtual Humo,TBC,Humo
91,29,Virtual Uzcard,TBC,Uzcard
92,29,Virtual Humo,TBC,Humo
93,29,Other Bank,Aloqa Bank,Uzcard
94,30,Salom,TBC,Uzcard
95,30,Other Bank,Infin Bank,Humo
96,31,Virtual Uzcard,TBC,Uzcard
97,31,Virtual Humo,TBC,Humo
98,31,Other Bank,Ipoteka Bank,Uzcard
99,32,Salom,TBC,Uzcard
100,32,Virtual Uzcard,TBC,Uzcard
101,32,Virtual Humo,TBC,Humo
102,32,Other Bank,Ipoteka Bank,Uzcard
103,33,Salom,TBC,Uzcard
104,33,Osmon,TBC,Humo
105,33,Virtual Humo,TBC,Humo
106,33,Other Bank,Ipoteka Bank,Uzcard
107,33,Other Bank,Kapital Bank,Humo
108,34,Salom,TBC,Uzcard
109,34,Osmon,TBC,Humo
110,34,Virtual Humo,TBC,Humo
111,34,Other Bank,Ipoteka Bank,Humo
112,35,Virtual Uzcard,TBC,Uzcard
113,35,Virtual Humo,TBC,Humo
114,36,Osmon,TBC,Humo
115,36,Virtual Uzcard,TBC,Uzcard
116,36,Virtual Humo,TBC,Humo
117,36,Other Bank,Xalq Bank,Uzcard
118,37,Salom,TBC,Uzcard
119,37,Virtual Uzcard,TBC,Uzcard
120,37,Virtual Humo,TBC,Humo
121,37,Other Bank,Aloqa Bank,Humo
122,38,Osmon,TBC,Humo
123,38,Virtual Uzcard,TBC,Uzcard
124,38,Virtual Humo,TBC,Humo
125,39,Salom,TBC,Uzcard
126,39,Virtual Uzcard,TBC,Uzcard
127,39,Virtual Humo,TBC,Humo
128,39,Other Bank,Ipoteka Bank,Humo
129,40,Virtual Uzcard,TBC,Uzcard
130,41,Osmon,TBC,Humo
131,41,Virtual Humo,TBC,Humo
132,41,Other Bank,Hamkor Bank,Humo
133,42,Salom,TBC,Uzcard
134,42,Virtual Humo,TBC,Humo
135,42,Other Bank,Hamkor Bank,Humo
136,42,Other Bank,Infin Bank,Uzcard
137,43,Osmon,TBC,Humo
138,43,Virtual Uzcard,TBC,Uzcard
139,43,Virtual Humo,TBC,Humo
140,43,Other Bank,Xalq Bank,Uzcard
141,43,Other Bank,Ipoteka Bank,Uzcard
142,44,Salom,TBC,Uzcard
143,44,Virtual Uzcard,TBC,Uzcard
144,44,Virtual Humo,TBC,Humo
145,44,Other Bank,Anor Bank,Uzcard
146,45,Salom,TBC,Uzcard
147,45,Osmon,TBC,Humo
148,45,Virtual Uzcard,TBC,Uzcard
149,46,Salom,TBC,Uzcard
150,47,Osmon,TBC,Humo
151,47,Virtual Uzcard,TBC,Uzcard
152,47,Virtual Humo,TBC,Humo
153,47,Other Bank,Anor Bank,Uzcard
154,47,Other Bank,Kapital Bank,Uzcard
155,47,Other Bank,Infin Bank,Humo
156,48,Other Bank,Ipoteka Bank,Humo
157,48,Other Bank,Kapital Bank,Humo
158,49,Virtual Uzcard,TBC,Uzcard
159,49,Virtual Humo,TBC,Humo
160,50,Virtual Uzcard,TBC,Uzcard
161,50,Virtual Humo,TBC,Humo
162,50,Other Bank,Anor Bank,Uzcard
163,50,Other Bank,Kapital Bank,Uzcard
