transaction_id,user_id,transaction_date,transaction_type,amount,route_type,fee_amount
1,8130,2025-07-27,credit_payment,262963.39,direct,0.0
2,4549,2024-09-04,payment,14292.79,direct,0.0
3,8485,2025-10-05,payment,44659.52,direct,0.0
4,7961,2025-12-09,p2p_transfer,51522.65,direct,1025.3
5,4989,2024-11-19,p2p_transfer,208424.99,via_salom,0.0
6,2458,2024-07-09,credit_payment,47687.28,direct,0.0
7,5059,2025-09-01,payment,349482.94,direct,0.0
8,7646,2024-09-09,cash_withdrawal,66730.75,direct,0.0
9,1929,2025-01-06,payment,33657.85,direct,0.0
10,1408,2025-05-27,payment,726243.21,direct,0.0
11,5040,2025-11-23,payment,545018.5,direct,0.0
12,3538,2025-09-25,payment,276286.06,direct,0.0
13,9120,2024-09-17,credit_payment,163371.51,direct,0.0
14,6606,2025-03-01,p2p_transfer,750554.02,direct,14936.02
15,2133,2024-11-10,payment,24045.32,direct,0.0
16,9764,2025-09-19,payment,312560.94,direct,0.0
17,5947,2025-05-29,credit_payment,169479.38,direct,0.0
18,4301,2024-02-16,p2p_transfer,194722.82,via_salom,0.0
19,8828,2024-10-07,payment,144367.93,direct,0.0
20,1903,2025-03-13,p2p_transfer,34493.2,direct,686.41
21,7834,2024-09-20,p2p_transfer,9055.15,direct,180.2
22,3773,2024-01-23,p2p_transfer,77832.38,direct,1548.86
23,2591,2024-06-20,p2p_transfer,158443.73,direct,3153.03
24,9965,2024-07-12,cash_withdrawal,797821.89,direct,0.0
25,9713,2025-08-04,cash_withdrawal,1274828.88,direct,0.0
26,4462,2025-08-09,p2p_transfer,927916.1,direct,18465.53
27,244,2024-06-12,payment,84248.31,direct,0.0
28,9908,2024-03-03,payment,598550.31,direct,0.0
29,4224,2025-06-22,payment,252201.61,direct,0.0
30,8697,2025-09-15,payment,722194.46,direct,0.0
31,5492,2024-03-29,p2p_transfer,88126.28,direct,1753.71
32,7061,2024-01-26,p2p_transfer,6945.57,via_salom,0.0
33,8121,2025-02-13,payment,306842.09,direct,0.0
34,2860,2024-05-17,p2p_transfer,173017.3,via_salom,0.0
35,3920,2024-02-27,payment,7436.26,direct,0.0
36,9052,2024-09-29,payment,529041.23,direct,0.0
37,9263,2024-01-23,payment,188306.13,direct,0.0
38,1405,2024-10-23,payment,382782.37,direct,0.0
39,7763,2025-09-12,credit_payment,566961.55,direct,0.0
40,4114,2024-05-26,p2p_transfer,288533.89,direct,5741.82
41,709,2025-06-16,payment,419032.82,direct,0.0
42,583,2025-05-21,p2p_transfer,619077.96,direct,12319.65
43,8126,2024-10-28,p2p_transfer,67093.07,via_salom,0.0
44,2053,2025-03-01,payment,212554.62,direct,0.0
45,5575,2024-03-11,p2p_transfer,363327.72,direct,7230.22
46,2248,2025-06-26,p2p_transfer,305110.34,via_salom,0.0
47,4882,2025-06-16,p2p_transfer,487605.21,direct,9703.34
48,7485,2024-03-13,p2p_transfer,157063.85,via_salom,0.0
49,6006,2024-09-20,payment,85512.43,direct,0.0
50,1751,2024-09-01,p2p_transfer,816633.52,via_salom,0.0
51,9911,2025-06-24,payment,62198.16,direct,0.0
52,743,2025-05-09,p2p_transfer,50199.32,via_salom,0.0
53,4785,2024-03-26,p2p_transfer,396584.36,direct,7892.03
54,6106,2025-11-29,cash_withdrawal,275434.66,direct,0.0
55,8485,2024-02-01,payment,41178.69,direct,0.0
56,7868,2025-02-20,p2p_transfer,173774.31,direct,3458.11
57,3652,2024-08-25,p2p_transfer,117851.87,direct,2345.25
58,5264,2024-01-24,cash_withdrawal,499944.98,direct,0.0
59,7890,2025-04-25,p2p_transfer,339211.86,direct,6750.32
60,4353,2024-05-07,payment,239294.73,direct,0.0
61,1414,2024-03-11,p2p_transfer,130386.94,direct,2594.7
62,8611,2025-08-04,payment,23622.35,direct,0.0
63,7152,2024-03-21,payment,656004.98,direct,0.0
64,1256,2025-08-19,cash_withdrawal,309975.14,direct,0.0
65,9073,2025-12-09,p2p_transfer,202362.82,direct,4027.02
66,2329,2025-09-14,credit_payment,400485.86,direct,0.0
67,690,2024-09-07,payment,398476.39,direct,0.0
68,2012,2025-01-19,cash_withdrawal,70702.26,direct,0.0
69,2081,2024-10-15,p2p_transfer,124271.04,direct,2472.99
70,9748,2025-08-07,p2p_transfer,188057.53,via_salom,0.0
71,3825,2025-04-26,p2p_transfer,40284.98,via_salom,0.0
72,5288,2024-01-25,cash_withdrawal,248666.89,direct,0.0
73,6645,2025-03-03,p2p_transfer,266039.21,direct,5294.18
74,2846,2025-07-13,credit_payment,53622.5,direct,0.0
75,1263,2025-12-09,cash_withdrawal,104752.85,direct,0.0
76,8775,2025-07-25,p2p_transfer,1221090.8,direct,24299.71
77,570,2024-11-22,p2p_transfer,353674.81,direct,7038.13
78,4038,2024-09-13,payment,441378.19,direct,0.0
79,8626,2025-04-08,p2p_transfer,2421776.36,direct,48193.35
80,2631,2025-04-06,p2p_transfer,229635.65,via_salom,0.0
81,6046,2025-12-31,payment,154405.89,direct,0.0
82,6119,2025-10-16,p2p_transfer,161628.56,direct,3216.41
83,9084,2024-12-05,payment,528702.94,direct,0.0
84,851,2024-06-23,p2p_transfer,27217.07,direct,541.62
85,5871,2025-08-11,cash_withdrawal,383739.53,direct,0.0
86,3992,2024-03-08,p2p_transfer,284189.41,direct,5655.37
87,125,2024-07-31,credit_payment,318089.78,direct,0.0
88,553,2025-08-31,p2p_transfer,316960.53,direct,6307.51
89,4533,2024-01-01,cash_withdrawal,69950.63,direct,0.0
90,5893,2024-03-29,payment,502656.5,direct,0.0
91,3195,2025-07-19,p2p_transfer,245869.59,direct,4892.8
92,4770,2024-06-15,p2p_transfer,46669.72,direct,928.73
93,1655,2025-11-17,payment,928424.14,direct,0.0
94,682,2025-07-16,p2p_transfer,176171.91,direct,3505.82
95,134,2025-11-01,payment,804241.42,direct,0.0
96,5195,2025-07-21,payment,21105.51,direct,0.0
97,1718,2025-11-02,p2p_transfer,556592.86,direct,11076.2
98,3945,2024-08-10,payment,25872.22,direct,0.0
99,3238,2024-03-12,p2p_transfer,47511.12,direct,945.47
100,2811,2025-08-09,p2p_transfer,469793.49,via_salom,0.0
101,1246,2025-09-26,cash_withdrawal,554408.34,direct,0.0
102,2626,2025-01-14,payment,113832.14,direct,0.0
103,3909,2025-10-06,p2p_transfer,297221.63,direct,5914.71
104,5282,2024-12-24,p2p_transfer,209092.59,direct,4160.94
105,3779,2025-10-09,p2p_transfer,471146.6,direct,9375.82
106,6010,2025-04-17,p2p_transfer,142179.35,direct,2829.37
107,9742,2025-08-21,payment,188391.55,direct,0.0
108,7779,2025-07-12,p2p_transfer,324596.56,direct,6459.47
109,7141,2024-11-10,payment,247417.39,direct,0.0
110,1119,2024-06-20,payment,133202.44,direct,0.0
111,6766,2025-01-07,p2p_transfer,153318.93,via_salom,0.0
112,635,2025-01-30,p2p_transfer,1062830.57,direct,21150.33
113,3568,2025-10-29,cash_withdrawal,224070.64,direct,0.0
114,8322,2024-08-15,cash_withdrawal,580684.61,direct,0.0
115,6410,2024-09-12,p2p_transfer,467677.9,direct,9306.79
116,216,2024-03-04,payment,266403.03,direct,0.0
117,5828,2024-04-11,payment,47997.96,direct,0.0
118,3482,2025-07-25,p2p_transfer,145585.22,direct,2897.15
119,7749,2025-06-08,p2p_transfer,26650.78,direct,530.35
120,5628,2025-07-06,payment,22768.07,direct,0.0
121,3900,2024-07-11,payment,388927.2,direct,0.0
122,1253,2025-02-03,payment,168610.42,direct,0.0
123,4861,2025-12-09,payment,48487.72,direct,0.0
124,7943,2024-08-11,payment,21296.5,direct,0.0
125,4295,2024-04-19,payment,163615.04,direct,0.0
126,7603,2024-05-10,p2p_transfer,142937.29,direct,2844.45
127,366,2024-08-06,p2p_transfer,88680.63,direct,1764.74
128,253,2025-02-11,p2p_transfer,238259.64,direct,4741.37
129,1820,2025-06-27,p2p_transfer,408735.78,direct,8133.84
130,9615,2024-04-16,payment,96893.25,direct,0.0
131,5743,2025-01-04,p2p_transfer,195766.21,direct,3895.75
132,117,2025-02-06,p2p_transfer,17734.69,direct,352.92
133,4310,2024-08-11,credit_payment,14093.12,direct,0.0
134,8705,2024-07-29,credit_payment,59452.14,direct,0.0
135,9821,2024-07-31,p2p_transfer,466899.01,via_salom,0.0
136,3005,2025-10-21,p2p_transfer,20395.61,direct,405.87
137,1592,2024-01-16,p2p_transfer,670736.89,direct,13347.66
138,3496,2024-11-13,payment,628333.21,direct,0.0
139,3241,2024-03-13,payment,418350.1,direct,0.0
140,7111,2025-11-01,p2p_transfer,742340.79,direct,14772.58
141,6567,2024-05-02,payment,109143.73,direct,0.0
142,819,2025-06-15,credit_payment,118911.22,direct,0.0
143,4848,2024-08-30,p2p_transfer,933599.16,direct,18578.62
144,2370,2025-11-22,p2p_transfer,110407.98,direct,2197.12
145,9064,2025-07-21,payment,50216.24,direct,0.0
146,9200,2025-05-18,p2p_transfer,625405.47,via_salom,0.0
147,9744,2025-04-11,p2p_transfer,227453.52,direct,4526.33
148,1213,2025-02-20,payment,691041.93,direct,0.0
149,8336,2024-04-06,payment,112079.59,direct,0.0
150,9610,2025-09-29,p2p_transfer,143818.45,via_salom,0.0
151,6471,2025-08-15,payment,253055.79,direct,0.0
152,8600,2024-08-23,p2p_transfer,45165.73,direct,898.8
153,6738,2025-04-27,payment,784608.97,direct,0.0
154,7510,2025-03-07,p2p_transfer,585878.92,direct,11658.99
155,8176,2025-03-18,p2p_transfer,339581.22,direct,6757.67
156,4968,2024-06-07,p2p_transfer,243577.22,via_salom,0.0
