client_id,group,conversion,transaction_amount,channel,date,product_type,region
1001,A,0,0.0,app,2025-06-12,deposit,Namangan
1002,B,0,0.0,web,2025-08-15,loan,Fergana
1003,B,0,0.0,web,2025-08-01,credit_card,Namangan
1004,B,0,0.0,web,2025-07-04,deposit,Andijan
1005,A,0,0.0,web,2025-07-08,loan,Bukhara
1006,A,0,0.0,app,2025-08-23,credit_card,Andijan
1007,A,0,0.0,web,2025-07-17,loan,Samarkand
1008,B,0,0.0,app,2025-08-18,deposit,Fergana
1009,B,0,0.0,web,2025-06-22,credit_card,Samarkand
1010,B,0,0.0,web,2025-08-19,deposit,Bukhara
1011,A,1,311.87,app,2025-08-27,deposit,Tashkent
1012,B,0,0.0,app,2025-06-03,credit_card,Tashkent
1013,B,1,90.79,app,2025-06-01,loan,Tashkent
1014,A,0,0.0,web,2025-07-23,insurance,Namangan
1015,A,0,0.0,app,2025-08-03,deposit,Namangan
1016,A,0,0.0,app,2025-07-14,loan,Tashkent
1017,A,0,0.0,web,2025-07-17,credit_card,Bukhara
1018,B,0,0.0,app,2025-07-08,credit_card,Andijan
1019,A,0,0.0,app,2025-08-02,credit_card,Namangan
1020,A,0,0.0,web,2025-08-20,credit_card,Andijan
1021,B,0,0.0,app,2025-07-11,insurance,Andijan
1022,A,0,0.0,web,2025-06-21,insurance,Tashkent
1023,A,1,135.13,app,2025-07-15,deposit,Samarkand
1024,A,0,0.0,app,2025-06-13,credit_card,Tashkent
1025,A,0,0.0,app,2025-08-05,credit_card,Tashkent
1026,B,0,0.0,app,2025-08-05,loan,Samarkand
1027,A,1,267.7,web,2025-07-13,deposit,Andijan
1028,B,1,181.59,web,2025-08-01,loan,Namangan
1029,B,0,0.0,app,2025-08-28,deposit,Andijan
1030,A,0,0.0,app,2025-08-31,deposit,Samarkand
1031,B,0,0.0,app,2025-07-18,deposit,Namangan
1032,A,1,318.32,app,2025-06-26,loan,Bukhara
1033,A,0,0.0,app,2025-08-31,deposit,Namangan
1034,B,1,699.91,web,2025-07-31,credit_card,Fergana
1035,B,0,0.0,app,2025-08-01,deposit,Namangan
1036,B,0,0.0,app,2025-08-21,credit_card,Fergana
1037,A,1,74.78,app,2025-06-14,credit_card,Namangan
1038,A,0,0.0,app,2025-07-24,credit_card,Samarkand
1039,B,0,0.0,web,2025-07-11,credit_card,Namangan
1040,A,0,0.0,app,2025-07-30,insurance,Tashkent
1041,A,1,297.28,app,2025-06-09,loan,Namangan
1042,A,0,0.0,app,2025-07-14,insurance,Samarkand
1043,A,0,0.0,web,2025-07-26,credit_card,Samarkand
1044,B,0,0.0,app,2025-06-03,credit_card,Namangan
1045,A,0,0.0,web,2025-08-30,loan,Namangan
